,8,12,13,14,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,121
-1,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,"('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('3', '0', '1', '0', '0')","('3', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('6', '2', '0', '0', '0')","('7', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('10', '2', '0', '0', '0')","('11', '0', '0', '0', '0')","('11', '2', '0', '0', '0')","('10', '0', '0', '0', '0')","('12', '1', '0', '0', '0')","('24', '5', '0', '0', '0')","('15', '1', '0', '0', '0')","('23', '1', '1', '0', '0')","('10', '2', '0', '0', '0')","('16', '3', '0', '0', '0')","('17', '3', '0', '0', '0')","('19', '7', '0', '0', '0')","('20', '4', '1', '0', '0')","('22', '5', '0', '0', '0')","('27', '5', '0', '0', '0')","('23', '7', '0', '0', '0')","('14', '3', '0', '0', '0')","('18', '6', '0', '0', '0')","('32', '4', '1', '0', '0')","('19', '4', '2', '0', '0')","('23', '5', '0', '0', '0')","('27', '6', '2', '0', '0')","('28', '5', '0', '0', '0')","('34', '12', '0', '0', '0')","('59', '17', '3', '0', '0')","('38', '12', '0', '0', '0')","('44', '13', '2', '0', '0')","('45', '17', '1', '0', '0')","('45', '9', '3', '0', '0')","('63', '24', '1', '0', '0')","('67', '24', '2', '0', '0')","('47', '20', '0', '0', '0')","('64', '23', '4', '0', '0')","('69', '25', '2', '0', '0')","('64', '29', '0', '0', '0')","('64', '22', '1', '0', '0')","('54', '23', '0', '0', '0')","('50', '18', '2', '0', '0')","('41', '18', '3', '1', '0')","('41', '18', '2', '0', '0')","('28', '12', '0', '0', '0')","('25', '10', '3', '0', '0')","('15', '6', '3', '0', '0')","('18', '5', '2', '1', '0')","('8', '3', '0', '0', '0')","('3', '2', '0', '0', '0')","('4', '2', '0', '0', '0')",,,,"('2', '0', '1', '0', '0')",,
-10,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,"('2', '1', '0', '0', '0')",,,"('2', '1', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '1', '0', '0', '0')",,,"('3', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('7', '0', '0', '0', '0')","('13', '1', '0', '0', '0')","('13', '2', '0', '0', '0')","('10', '1', '0', '0', '0')","('12', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('18', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('13', '0', '0', '0', '0')","('21', '1', '0', '0', '0')","('19', '1', '0', '0', '0')","('11', '0', '0', '0', '0')","('28', '1', '0', '0', '0')","('20', '2', '1', '0', '0')","('18', '1', '0', '0', '0')","('26', '1', '1', '0', '0')","('19', '3', '1', '0', '0')","('20', '3', '0', '0', '0')","('38', '2', '2', '0', '0')","('31', '2', '0', '0', '0')","('28', '2', '0', '0', '0')","('24', '2', '0', '0', '0')","('28', '10', '0', '0', '0')","('25', '4', '0', '0', '0')","('29', '7', '0', '0', '0')","('31', '5', '1', '0', '0')","('41', '7', '1', '0', '0')","('37', '9', '2', '0', '0')","('43', '12', '2', '0', '0')","('59', '7', '2', '0', '0')","('57', '16', '0', '0', '0')","('51', '8', '0', '0', '0')","('50', '17', '1', '0', '0')","('48', '10', '0', '1', '0')","('43', '10', '1', '0', '0')","('45', '12', '1', '0', '0')","('40', '10', '1', '0', '0')","('30', '8', '0', '0', '0')","('30', '9', '1', '0', '0')","('22', '3', '0', '0', '0')","('13', '5', '0', '0', '0')","('18', '2', '1', '0', '0')","('12', '2', '0', '0', '0')","('7', '3', '1', '0', '0')","('3', '2', '0', '0', '0')","('2', '1', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,,,,,
-11,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,"('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('8', '2', '0', '0', '0')","('11', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('13', '0', '1', '0', '0')","('13', '0', '0', '0', '0')","('16', '1', '2', '0', '0')","('23', '4', '0', '0', '0')","('21', '4', '0', '0', '0')","('19', '1', '0', '0', '0')","('23', '3', '0', '0', '0')","('25', '0', '2', '0', '0')","('14', '0', '0', '0', '0')","('14', '1', '0', '0', '0')","('23', '2', '0', '0', '0')","('29', '3', '1', '0', '0')","('16', '1', '0', '0', '0')","('23', '1', '0', '0', '0')","('29', '5', '0', '0', '0')","('25', '1', '0', '1', '0')","('26', '2', '0', '0', '0')","('26', '5', '0', '0', '0')","('31', '3', '0', '0', '0')","('37', '6', '1', '0', '0')","('29', '5', '0', '0', '0')","('26', '2', '2', '0', '0')","('30', '4', '0', '0', '0')","('45', '9', '0', '0', '0')","('45', '9', '0', '0', '0')","('39', '10', '0', '0', '0')","('31', '5', '1', '0', '0')","('51', '13', '0', '0', '0')","('38', '5', '1', '0', '0')","('35', '14', '1', '0', '0')","('29', '4', '1', '0', '0')","('32', '5', '1', '0', '0')","('43', '14', '1', '0', '0')","('32', '10', '0', '0', '0')","('25', '6', '0', '0', '0')","('17', '7', '0', '0', '0')","('20', '8', '0', '0', '0')","('10', '3', '0', '0', '0')","('6', '2', '0', '0', '0')","('11', '3', '0', '0', '0')","('7', '2', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,
-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,"('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('6', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('9', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('9', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('6', '0', '0', '0', '0')","('9', '1', '1', '0', '0')","('14', '0', '0', '0', '0')","('8', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('14', '0', '1', '0', '0')","('16', '0', '0', '0', '0')","('15', '1', '0', '0', '0')","('20', '1', '0', '0', '0')","('14', '0', '1', '0', '0')","('20', '3', '1', '0', '0')","('24', '1', '0', '0', '0')","('15', '1', '1', '0', '0')","('13', '0', '0', '0', '0')","('18', '3', '1', '0', '0')","('21', '2', '0', '0', '0')","('18', '0', '1', '0', '0')","('12', '0', '1', '0', '0')","('22', '2', '1', '0', '0')","('25', '2', '1', '0', '0')","('19', '1', '1', '0', '0')","('18', '3', '0', '0', '0')","('30', '4', '2', '0', '0')","('25', '2', '0', '0', '0')","('22', '0', '0', '0', '0')","('36', '4', '0', '0', '0')","('37', '7', '1', '0', '0')","('44', '5', '1', '0', '0')","('50', '7', '1', '0', '0')","('38', '8', '1', '0', '0')","('34', '8', '1', '0', '0')","('33', '3', '0', '0', '0')","('32', '10', '1', '0', '0')","('51', '15', '1', '0', '0')","('47', '12', '0', '0', '0')","('33', '10', '0', '0', '0')","('39', '13', '1', '0', '0')","('31', '7', '0', '0', '0')","('34', '9', '1', '1', '0')","('22', '7', '0', '0', '0')","('17', '4', '0', '0', '0')","('20', '5', '1', '0', '0')","('12', '0', '0', '0', '0')","('7', '2', '1', '0', '0')","('7', '4', '0', '0', '0')","('7', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,"('2', '0', '0', '0', '0')",,,,,
-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('3', '1', '0', '0', '0')",,,"('2', '0', '0', '0', '0')",,,"('2', '0', '0', '0', '0')","('1', '1', '0', '0', '0')","('2', '0', '0', '0', '0')",,"('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('8', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('10', '1', '0', '0', '0')","('13', '2', '0', '0', '0')","('11', '1', '0', '0', '0')","('8', '1', '0', '0', '0')","('15', '1', '1', '0', '0')","('19', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('16', '0', '0', '0', '0')","('12', '1', '0', '0', '0')","('22', '1', '0', '0', '0')","('12', '1', '1', '0', '0')","('21', '0', '1', '0', '0')","('12', '1', '1', '0', '0')","('13', '1', '0', '0', '0')","('10', '2', '0', '0', '0')","('10', '2', '0', '0', '0')","('21', '1', '0', '0', '0')","('20', '3', '0', '0', '0')","('23', '2', '0', '0', '0')","('21', '2', '0', '0', '0')","('29', '2', '0', '0', '0')","('18', '1', '1', '0', '0')","('26', '3', '2', '1', '0')","('21', '4', '0', '0', '0')","('29', '4', '0', '0', '0')","('40', '9', '0', '0', '0')","('39', '7', '0', '0', '0')","('36', '3', '2', '0', '0')","('39', '6', '0', '0', '0')","('38', '8', '0', '0', '0')","('48', '9', '2', '0', '0')","('48', '9', '1', '0', '0')","('33', '11', '0', '0', '0')","('25', '4', '1', '0', '0')","('31', '8', '1', '0', '0')","('34', '7', '0', '0', '0')","('32', '6', '1', '1', '0')","('32', '13', '2', '0', '0')","('20', '5', '0', '0', '0')","('17', '4', '0', '0', '0')","('13', '0', '0', '0', '0')","('6', '3', '0', '0', '0')","('8', '4', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '2', '0', '0', '0')","('4', '1', '0', '0', '0')",,"('2', '0', '0', '0', '0')",,,,,,,
-14,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,,"('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')",,,,,"('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '1', '0', '0', '0')","('4', '0', '1', '0', '0')","('5', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('12', '1', '0', '0', '0')","('9', '2', '1', '0', '0')","('9', '1', '0', '0', '0')","('19', '1', '0', '0', '0')","('12', '0', '0', '0', '0')","('16', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('10', '0', '0', '0', '0')","('15', '0', '0', '0', '0')","('10', '0', '0', '0', '0')","('13', '0', '0', '0', '0')","('17', '1', '0', '0', '0')","('12', '1', '0', '0', '0')","('21', '3', '0', '0', '0')","('19', '5', '0', '0', '0')","('11', '0', '0', '0', '0')","('22', '0', '0', '0', '0')","('13', '0', '0', '0', '0')","('24', '0', '0', '0', '0')","('27', '0', '0', '0', '0')","('25', '1', '0', '0', '0')","('24', '0', '0', '0', '0')","('29', '1', '0', '0', '0')","('29', '2', '0', '0', '0')","('33', '7', '1', '0', '0')","('36', '4', '0', '0', '0')","('40', '9', '1', '0', '0')","('34', '6', '0', '0', '0')","('40', '13', '0', '0', '0')","('39', '3', '0', '0', '0')","('33', '9', '0', '0', '0')","('41', '4', '1', '0', '0')","('40', '9', '0', '0', '0')","('31', '4', '0', '0', '0')","('27', '8', '0', '0', '0')","('39', '9', '1', '0', '0')","('28', '8', '0', '0', '0')","('26', '9', '0', '0', '0')","('25', '10', '0', '0', '0')","('21', '7', '0', '0', '0')","('8', '0', '0', '0', '0')","('6', '2', '0', '0', '0')","('9', '3', '0', '0', '0')","('3', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('3', '2', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,
-15,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,,,"('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('3', '0', '0', '0', '0')",,"('1', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('4', '1', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('2', '1', '0', '0', '0')","('2', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('8', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('11', '2', '0', '0', '0')","('15', '1', '0', '0', '0')","('10', '1', '0', '0', '0')","('11', '3', '0', '0', '0')","('12', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('11', '1', '0', '0', '0')","('20', '0', '1', '0', '0')","('16', '0', '0', '0', '0')","('16', '1', '0', '0', '0')","('19', '0', '1', '0', '0')","('25', '0', '0', '0', '0')","('16', '0', '0', '0', '0')","('27', '3', '0', '0', '0')","('21', '3', '0', '0', '0')","('13', '1', '0', '0', '0')","('19', '0', '2', '0', '0')","('19', '1', '0', '0', '0')","('17', '0', '1', '0', '0')","('30', '3', '1', '0', '0')","('28', '3', '1', '0', '0')","('34', '2', '0', '0', '0')","('21', '3', '1', '0', '0')","('25', '1', '0', '0', '0')","('28', '6', '0', '0', '0')","('31', '4', '0', '0', '0')","('30', '4', '2', '1', '0')","('46', '5', '2', '0', '0')","('23', '3', '0', '0', '0')","('34', '4', '0', '0', '0')","('35', '7', '0', '1', '0')","('38', '9', '1', '0', '0')","('30', '7', '0', '0', '0')","('36', '6', '0', '0', '0')","('34', '11', '0', '0', '0')","('22', '2', '0', '0', '0')","('21', '7', '0', '0', '0')","('18', '6', '0', '0', '0')","('11', '2', '0', '0', '0')","('12', '0', '1', '0', '0')","('4', '0', '0', '0', '0')","('7', '2', '0', '0', '0')","('3', '2', '0', '0', '0')","('2', '0', '0', '0', '0')",,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,
-16,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,"('3', '0', '0', '0', '0')",,,"('2', '1', '0', '0', '0')",,,"('1', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('2', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('8', '1', '0', '0', '0')","('10', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('15', '1', '0', '0', '0')","('16', '3', '0', '0', '0')","('18', '2', '0', '0', '0')","('12', '2', '0', '0', '0')","('13', '0', '0', '0', '0')","('17', '0', '0', '0', '0')","('12', '2', '0', '0', '0')","('18', '1', '1', '0', '0')","('19', '0', '0', '0', '0')","('15', '1', '0', '0', '0')","('21', '1', '0', '0', '0')","('13', '0', '0', '0', '0')","('15', '0', '0', '0', '0')","('20', '0', '0', '1', '0')","('20', '1', '0', '0', '0')","('21', '1', '0', '0', '0')","('20', '1', '0', '0', '0')","('22', '2', '0', '0', '0')","('25', '4', '0', '0', '0')","('24', '1', '0', '0', '0')","('25', '3', '0', '0', '0')","('33', '3', '2', '0', '0')","('30', '3', '1', '0', '0')","('26', '4', '0', '0', '0')","('22', '1', '1', '0', '0')","('35', '3', '1', '0', '0')","('34', '5', '1', '0', '0')","('29', '4', '0', '0', '0')","('27', '3', '1', '0', '0')","('33', '7', '1', '0', '0')","('27', '4', '0', '0', '0')","('19', '2', '0', '0', '0')","('27', '9', '0', '0', '0')","('20', '5', '0', '0', '0')","('19', '6', '0', '0', '0')","('12', '3', '0', '0', '0')","('14', '5', '0', '0', '0')","('9', '3', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '1', '0', '0', '0')",,"('4', '1', '0', '0', '0')",,"('1', '1', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,
-17,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')",,,,,,"('1', '0', '0', '0', '0')",,,,,,"('1', '0', '0', '0', '0')",,,"('1', '0', '0', '0', '0')",,,,,"('2', '1', '0', '0', '0')","('1', '0', '0', '0', '0')",,"('4', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('1', '1', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('7', '1', '0', '0', '0')","('11', '1', '0', '0', '0')","('16', '1', '0', '0', '0')","('14', '0', '0', '0', '0')","('19', '0', '1', '0', '0')","('13', '1', '0', '0', '0')","('16', '0', '1', '0', '0')","('14', '0', '0', '0', '0')","('16', '1', '1', '0', '0')","('17', '0', '0', '0', '0')","('16', '0', '0', '0', '0')","('13', '1', '0', '0', '0')","('11', '0', '0', '0', '0')","('15', '0', '1', '0', '0')","('13', '0', '0', '0', '0')","('17', '1', '0', '0', '0')","('15', '3', '0', '0', '0')","('13', '0', '0', '0', '0')","('17', '0', '0', '0', '0')","('21', '1', '0', '0', '0')","('20', '0', '0', '1', '0')","('27', '0', '0', '0', '0')","('28', '0', '0', '0', '0')","('27', '3', '0', '0', '0')","('21', '3', '0', '0', '0')","('27', '3', '1', '0', '0')","('33', '5', '1', '0', '0')","('41', '4', '0', '0', '0')","('34', '3', '0', '0', '0')","('29', '4', '0', '0', '0')","('33', '4', '1', '0', '0')","('27', '5', '0', '0', '0')","('26', '6', '0', '0', '0')","('32', '1', '2', '0', '0')","('27', '5', '0', '0', '0')","('29', '3', '1', '0', '0')","('14', '3', '0', '0', '0')","('27', '6', '2', '0', '0')","('13', '2', '0', '0', '0')","('15', '7', '0', '0', '0')","('8', '1', '0', '0', '0')","('12', '3', '0', '0', '0')","('8', '0', '0', '0', '0')","('6', '0', '0', '0', '0')","('4', '0', '1', '0', '0')","('4', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,,,
-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"('1', '0', '0', '0', '0')","('1', '0', '0', '0', '0')",,,,,,,"('1', '0', '0', '0', '0')","('1', '1', '0', '0', '0')","('3', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('1', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('5', '0', '0', '0', '0')","('4', '0', '0', '0', '0')","('3', '0', '0', '0', '0')","('2', '0', '0', '0', '0')","('7', '0', '0', '0', '0')","('6', '1', '0', '0', '0')","('15', '0', '0', '0', '0')","('13', '0', '0', '0', '0')","('21', '0', '0', '0', '0')","('11', '0', '0', '0', '0')","('14', '1', '0', '0', '0')","('17', '0', '0', '0', '0')","('15', '1', '0', '0', '0')","('18', '1', '0', '0', '0')","('15', '1', '0', '0', '0')","('13', '0', '0', '0', '0')","('15', '0', '0', '0', '0')","('15', '0', '0', '0', '0')","('12', '1', '0', '0', '0')","('18', '0', '0', '0', '0')","('12', '0', '0', '0', '0')","('14', '1', '0', '0', '0')","('13', '2', '0', '0', '0')","('24', '3', '0', '0', '0')","('16', '2', '0', '0', '0')","('30', '1', '1', '0', '0')","('31', '3', '0', '0', '0')","('31', '2', '0', '0', '0')","('30', '1', '0', '0', '0')","('26', '3', '0', '0', '0')","('20', '2', '1', '0', '0')","('29', '4', '0', '0', '0')","('26', '5', '1', '0', '0')","('36', '10', '1', '0', '0')","('35', '5', '0', '0', '0')","('38', '3', '0', '0', '0')","('19', '3', '0', '0', '0')","('24', '3', '1', '0', '0')","('20', '1', '0', '0', '0')","('26', '3', '0', '0', '0')","('27', '5', '0', '0', '0')","('18', '3', '0', '0', '0')","('9', '1', '0', '0', '0')","('20', '8', '0', '0', '0')","('16', '2', '0', '0', '0')","('11', '1', '2', '0', '0')","('6', '3', '0', '0', '0')","('7', '3', '0', '0', '0')","('4', '3', '0', '0', '0')","('3', '1', '0', '0', '0')","('2', '2', '0', '0', '0')",,,"('1', '1', '0', '0', '0')",,,,,,,,
